linetype	xmin	xmax	key	showSelected1	showSelected2	showSelected3	PANEL	group
0	43449.894	43451.105	43449894 43451105	-4.8	3.75283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.8	3.75283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.8	5.25202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.8	5.25202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.8	5.25202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.8	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.8	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.8	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.6	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-4.6	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-4.6	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-4.6	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.6	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.6	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.6	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.6	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.6	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.6	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.6	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	-0.212657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	-0.212657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	-0.212657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	1.01295894632013	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	1.01295894632013	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	1.01295894632013	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	1.51885391825865	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	1.51885391825865	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	1.51885391825865	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	1.86523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	1.86523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	1.86523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	2.52562278092917	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	2.52562278092917	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	2.52562278092917	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	3.55283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	3.55283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	3.55283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	5.05202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	5.05202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	5.05202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.6	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.6	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.6	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.4	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-4.4	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-4.4	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-4.4	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.4	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.4	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.4	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.4	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.4	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.4	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.4	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	-0.312657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	-0.312657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	-0.312657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	0.812958946320131	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	0.812958946320131	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	0.812958946320131	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	1.41885391825865	correct	1	1
